"id","qid1","qid2","question1","question2","is_duplicate"
1232,2465,2466,"What is the the best free wordpress theme for oniline printing shop?","Under either candidate as president, is the US is relinquishing its postwar leadership in opening markets worldwide to China?","0"
1233,2467,2468,"Where can I get fantastic value in Sydney for floor tiles?","Where can I get best quality wall and floor tiles at very affordable rates in Sydney area?","1"
1234,2469,2470,"Why do some old computer games run very fast on new, powerful computers?","What is one key criteria or computer part that makes a computer fast for gaming?","0"
1235,2471,2472,"How can I continue using Uber if I change countries without changing my account?","Can I use my Uber referral credit in some other countries? What if I refer someone in other country?","0"
1236,2473,2474,"For BITSAT & IIT JEE Mains 'theory', is NCERT sufficient?","Is reading NCERT textbooks and solving model question papers good enough preparation to do well in BITSAT and JEE Mains?","0"
1237,2475,2476,"With anti-poor, anti-middle class laws like GST, land, labor reforms, is india going to become authoritarian like china?","How do we let know the defence ministry of India to also focus on the Cyber Warfare like China and USA does, we have so many IITans with such good hacking and anti-hacking/firewalling skill?","0"
1238,2477,2478,"What are the best ways to learn to code in a short amount of time?","How can I learn to code easily and efficiently in a short amount of time?","1"
1239,2479,2480,"What is the nicest thing that a complete stranger has ever done for you?","What is the nicest thing a stranger has done for you?","1"
1240,2481,2482,"What are some good factors about democracy?","What is something good about fascism that we would benefit from applying to our liberal democracies?","0"
1241,2483,2484,"What is the best gift you ever received?","Which is the best gift that you have ever received?","1"
1242,2485,2486,"Who is the best teacher in life?","Who are the best teachers of life?","1"
1243,2487,2488,"Why didn't Huma Abedin give the FBI immediate permission to examine the 650,000 Email?","What is it like to grow up in a one bedroom apartment?","0"
1244,2489,2490,"If I become a millionaire should I tell families and friends?","Should I tell people that I have become a millionaire?","1"
1245,2491,2492,"Are there any students from SJA Dehradun on Quora?","Is a better translation of ""exceptio probat regulum"" ""the exception tests the rule?""","0"
1246,2493,2494,"How can a 9th grader study for NTSE online? What are some good websites for assignments?","How do I prepare for NTSE if presently studying in class 9th?","0"
1247,2495,2496,"Who is the best footballer?","Who are the best footballer today?","0"
1248,2497,2498,"What is the name of the creepiest horror movie you've ever seen? Which was the scariest part?","What is the scariest or creepiest movie you have ever seen?","1"
1249,2499,2500,"What would be the procedure if a major party nominee died before a general election?","What would happen if the presidential nominee died before the November election?","1"
1250,2501,2502,"Will I spoil my smartphone if I keep it charging overnight regularly?","How long does it take to full charge a smartphone?","0"
1251,2503,2504,"How does Keyhole fetch hash tag data from Facebook while there is no API available for this?","Why are hash tags so important?","0"
1252,2505,2506,"Do Google glasses look super nerdy? If so, how might Google overcome this perception?","What can Google do to turn Google Glass around?","0"
1253,2507,2508,"Were India and China part of Turkey at any point of time in world history?","Who were the most powerful countries in the world at different points in history?","0"
1254,2509,2510,"What are the biggest regrets of your life?","What's your biggest regret in life?","1"
1255,2511,2512,"What are the places to visit for a honeymoon in Kerala?","What all places can one visit on a two day trip in Kerala, India?","1"
1256,2513,2514,"Have you ever experienced paranormal activities?","Have you ever experienced any paranormal activity? Where and what actually happened?","0"
1257,2515,2516,"Would you share your deepest secret with your spouse?","What is your secret that you can only share at Quora?","0"
1258,2517,2518,"What are your views on the ban of Rs 500 and Rs 1000 notes by the Indian Government? Pros cons?","What do you think of abolishing 500 and 1000 Rupee Currency notes by the Indian Government?","1"
1259,2519,2520,"What is the difference between ""assessment"" and ""evaluation""?","What is the difference between assessment and evaluation?","1"
1260,2521,2522,"What are the songs that make you feel happy?","What are some songs that just make you happy?","1"
1261,2523,2524,"What is your review of No Such Thing (2001 movie)?","What is your review of Friend (2001 movie)?","0"
1262,2525,2526,"Can you buy an Apple Watch without a watch band?","Will existing Apple Watch bands work with Apple Watch 3 (2017), since I have expensive Apple Watch Bands including Link Bracelet and Classic Buckle?","0"
1263,2527,2528,"What was the last great decade for rock?","Who would you pick as the best rock band of the last decade, 2005-2015?","0"
1264,2529,2530,"What countries are socialist?","Are there any socialist countries left?","1"
1265,2531,2532,"What are the main differences between Microsoft Office 2013 and 2016 for Windows?","What is the major difference between MS - Office 2007 and 2013?","0"
1266,2533,2534,"I wanted to start a e-grocery store in Kerala. So will any of the existing e-grocery stores in India will allow me to visit and study their office?","If you needed to earn 1 million dollars within a year, what would you do?","0"
1267,2535,2536,"How can the landforms of the Canadian shield be described?","What are the landforms of the Canadian Shield?","0"
1268,2537,2538,"Will Brexit really happen?","Is Brexit likely to happen?","1"
1269,2539,2540,"How can we hack Wifi Passowrds?","How do I can hack wifi?","1"
1270,2541,2542,"How did Portugal become and stay independent of Spain? What are the cultural narratives in Portuguese and Spanish histories?","How did Portugal become an independent country from Spain?","1"
1271,2543,2544,"Who will probably win in the war between Pakistan and Iran?","Who would win a *conventional* war between Iran and Pakistan right now?","1"
1272,2545,2546,"Why does magnetic field produce when current flows in a conductor?","Why is a magnetic field produced when current flows through a conductor?","1"
1273,2547,2548,"Who were the most influential queens in history?","Who is the most influential queen in history?","1"
1274,2549,2550,"How do we allocate memory for a structure and array in C?","Are dynamic allocations of array allowed in C?","1"
1275,2551,2552,"How do I integrate [math]v^3(a^2-v^2)^{\frac{1}{2}}[/math] by substitution?","How do I integrate [math]\frac{x^2}{x^2-1}[/math]?","0"
1276,2553,2554,"What is the latest age for a wisdom tooth to come out?","My wisdom tooth is hurting but it has come out well and I floss there. So why is it hurting then?","0"
1277,2555,2556,"Any solutions for unable to upgrade access level for viewing to full transaction of SBI net banking?","How much time does it take to upgrade the access level to full transaction rights in SBI online?","0"
1278,2557,2558,"Baking: How do I make cookies that are soft and chewy?","How do you bake cookies without plain flour?","0"
1279,2559,2560,"What interests should I add on Omegle to get more girls?","Omegle is not so famous among girls. Do girls know about or like Omegle?","0"
1280,2561,2562,"How can I stop overthinking everything in my relationship?","How do I stop overthinking situations in my relationship?","1"
1281,2563,2564,"What is meant by ""the language of a story""?","What is meant by c language?","0"
1282,2565,2566,"What is my strategy for applying for Economics graduate school no research/internships?","What are some important factors that keep bones healthy and strong?","0"
1283,2567,2568,"Why do I not lose weight when I throw up?","What are the best ways to lose weight?","0"
1284,2569,2570,"How can I make money online in India?","What's the easiest way to make money online?","0"
1285,2571,2572,"What are the differences between Chinese and western etiquettes?","What are the differences between Chinese and western etiquette?","1"
1286,2573,2574,"Is keeping a old Rs. 500 or Rs. 1000 note as a memory is a crime?","What were the security features of an old Rs. 500 and Rs. 1000 currency notes?","0"
1287,2575,2576,"What are some popular method to do suicide?","Is there some painless way to suicide?","1"
1288,2577,2578,"Why do Capricorns pull away?","What does love mean to Capricorns?","0"
1289,2579,2580,"What is the difference between 'das', 'der', 'die' and 'den' in the German language?","German (language): What is the difference between ""dem"" and ""den""?","0"
1290,2581,2582,"I am 36 year old divorced female. I seem incapable of fulfilling my dream of being married and having a family. Is there a way?","Quora, may I have three million dollars to fulfill my dream within 4 years?","0"
1291,2583,2584,"Where can I get wonderful flavors on cupcakes in Gold Coast?","Where can I get good quality cupcakes and a lot of different flavor in Gold Coast?","1"
1292,2585,2586,"Why is Magical girl anime popular in South Korea?","Why are fairy-themed magical girls rare in anime?","0"
1293,2587,2588,"What was Marc Srour like as a teenager?","What is it like to be Marc Srour?","0"
1294,2589,2590,"Is time travel possible? If yes? How?","Is time travel still theorized as being possible?","1"
1295,2591,2592,"Why is Hansie Cronje the greatest ever South African captain?","What is it like to be a white South African?","0"
1296,2593,2594,"Can you use one Spotify premium account on multiple mobile devices?","If I have a Spotify premium account on my iPhone, can my friend use it on his iPhone?","0"
1297,2595,2596,"What are the copyright laws around quotes? Can I take a quote, make it into a poster and sell it on Etsy?","Why doesn't Microsoft take action on the millions of pirated copies of Windows?","0"
1298,2597,2598,"I am planning to join CTS (Cognizant), USA and heard these rumors that even if they promised, they don't apply for green cards for their employees. What are the facts behind this?","I am a British Citizen with perm. residence in ZA. May I apply for the Green Card Lottery considering ""natives of the UK are not eligible to apply""?","0"
1299,2599,2600,"Does anyone else have clear looking skin but if you squeeze your pores lots of white gunk ""worms"" come out?","Why is my face sweating and I have smelly gunk comming out of the pores on my nose?","0"
1300,2601,2602,"How safe is it to use your real name on the internet?","How safe is it to have your real name on the Internet?","0"
1301,2603,2604,"I own a personal website/blog. If I get decent traffic I want to make few bucks via ads. Does the law allow me to do this while being on H1B visa?","My brother in law going to start a shop in NY. Can he apply for me as a worker of his shop to get H1b visa?","0"
1302,2605,2606,"What is the most spontaneous thing you have ever done?","What is the most spontaneous thing you've ever done?","1"
1303,2607,2608,"Which book to use for preparing chemistry for neet?","Which chemistry objective book is good for NEET 2017?","1"
1304,2609,2610,"How can I manage inbox in outlook for rapid response when I have a email flow of 200 emails per day?","When it comes to mass email marketing, do you think a .com has a better chance of inboxing compared to a .net .us. info etc.?","0"
1305,2611,2612,"What are some good truth or dare questions to ask over text?","What are the best questions to ask a girl while chatting?","0"
1306,2613,2614,"What is the purpose of double pulsing a thyristor?","What is the purpose of life?","0"
1307,2615,2616,"How will real estate prices be affected in India after banning of 500 and 1000 rupees notes?","How does the demonetized notes of 500 and 1000 effect the real estate?","1"
1308,2617,2618,"How many minutes does it take to soft boil an egg?","Which is Better: Raw egg or Boiled egg?","0"
1309,2619,2620,"What should I do if my best friend is addicted to drugs?","What is drug rehab like?","0"
1310,2621,2622,"How long does the USPS first class shipping take from Phoenix to Los Angeles?","How long does it take to ship USPS to Hong Kong?","0"
1311,2623,2624,"I m bio student how I got admission in vits Vellore in biotechnology and I don't have math in 12?","Kindly tell me whole process of admission at vits Vellore for biotech.i m a bio student in 12..I don't have math there?","1"
1312,2625,2626,"What is the life of mechanical engineers graduated from top colleges who didn't select in campus placemats?","Why do many engineering graduates from top notch colleges such as IITs/NITs pursue an MBA immediately after graduation?","0"
1313,2627,2628,"What are my options for earning money online?","What are some best ways to earn money online?","1"
1314,2629,2630,"What was a book that changed you?","What is the one book that changed you?","1"
1315,2631,2632,"What are the things to consider when buying a new laptop?","What are the things to be considered while buying a new laptop?","1"
1316,2633,2634,"Which is the best destination for honeymoon in December within a budget of INR 2 lakhs for a couple?","Which is the best destination for honeymoon in december within a budget of INR 4 lakhs for a couple?","0"
1317,2635,2636,"Why would an ex follow me on social networks if he broke up with me?","Why would my ex follow me on IG when we haven't spoken much since we broke up in 2012?","0"
1318,2637,2638,"How should I stop biting my nails?","How can I stop biting my nails for good?","1"
1319,2639,2640,"How do I avoid looking like a tourist in Paris?","How do I dress in Paris to avoid looking like a tourist?","1"
1320,2641,2642,"Presently (2015) how many articles, parts and schedules are there in the Indian Constitution?","How many pages are there in the Indian constitution?","0"
1321,2643,2644,"What are good ways to earn online?","How can I earn online with little investment?","0"
1322,2645,2646,"Is Trump a Manchurian President for Putin?","Is President-elect Donald Trump President Putin's Trojan Horse?","0"
1323,2647,2648,"What are the benefits of completing IIT JEE after 12th?","What do you think of Stephen A. Marglin's book ""The Dismal Science: How Thinking Like an Economist Undermines Community""?","0"
1324,2649,2650,"What is (Ni) Introverted Intuition?","What is Introverted Intuition?","1"
1325,2651,2652,"How do I plan a bridal shower party?","How can I plan a bridal shower in another state?","1"
1326,2653,2654,"Why does the Indian education system suck?","What is wrong with Indian engineering education system?","1"
1327,2655,2656,"What are the best pick up lines?","How do I pick up a girl taller than me?","0"
1328,2657,2658,"Why do the Union territories of Puducherry and Delhi have their own assembly?","Why do only the union territories of Delhi and Puducherry have chief ministers and not others?","1"
1329,2659,2660,"What is the story behind the Black Swan movie?","What is the story behind the black swan in Swan Lake?","1"
1330,2661,2662,"Are there any jobs where I can combine my creative and tech minds?","Is there any respectable job where I can sit and read and get paid good?","0"
1331,2663,2664,"How do I get mods for GTA v on my Xbox one?","Can I play GTA 5 in Xbox 360 E?","0"
1332,2665,2666,"Is a third world war coming?","Is World War 3 more imminent than expected?","1"
1333,2667,2668,"What is the best Advantage of using Quora?","What is the benefit to Quora?","1"
1334,2669,2670,"What would Cersei do if Jon became king?","What would Melisandre do if Jon became king?","0"
1335,2671,2672,"What is so special about Rolls Royce cars that they are only given to respected personalities?","Are Rolls-Royce cars given only to reputed personalities?","1"
1336,2673,2674,"Why is the spine is seen as the axis of the universe in spirituality? How do you get mastery over the spine?","How can you treat pain in the middle of your spine?","0"
1337,2675,2676,"What are the similarities and differences between chloroplasts and mitochondria?","What is the difference between electrons in the mitochondria of an animal cell and mitochondria in the plant cell when cyanide is added?","0"
1338,2677,2678,"Where can I get the Jacket that Ranbir Kapoor is wearing in song 'Matargashti'?","What is Ranbir Kapoor's beard style in iLahi Song from Yeh Jawaani Hai Deewani?","0"
1339,2679,2680,"How long does a human need to die after drinking rat poison?","How does a person detect if their weed was laced with rat poison?","0"
1340,2681,2682,"Why does Islam allow and encourage cousins to marry? Is this still in practice?","Do cousins marry each other regularly in Islam?","0"
1341,2683,2684,"How do I know if my WhatsApp account has been hacked?","How do I hack anyone's WhatsApp account by my mobile?","0"
1342,2685,2686,"What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?","Is the Indian government's decision to illegalise 500 and 1000 rupee notes a masterstroke or a flawed plan?","0"
1343,2687,2688,"Are there any famous people with low IQ's?","Who are some famous people with low IQs?","1"
1344,2689,2690,"Is there an archive app that lets you search the text in pictures?","Could the study of meteorology be used (in part) to understand the development and movement patterns of cancer?","0"
1345,2691,2692,"What are some good places to visit in Kerala on tour?","What are some good beaches to visit in Kerala?","1"
1346,2693,2694,"Can Donald Trump keep his campaign promises?","What promises can Donald Trump keep?","1"
1347,2695,2696,"How come the media doesn't cover/talk about Trump alleged raping of a 13 yr old girl trial?","Why doesn't the main stream media or Hillary talking about Trumps December trial for raping a 13 yo?","1"
1348,2697,2698,"Why does Locke decide to kill Bran Stark at Craster's Keep?","Why did Locke try to kill or kidnap Bran Stark at Craster's keep?","0"
1349,2699,2700,"If you make $130,000/year in NYC, what is your take-home bi-weekly payment?","Why is the take home salary on 100,000 gross so low in the U.S.?","0"
1350,2701,2702,"How do you treat acne scars?","How do you treat acne?","0"
1351,2703,2704,"The Martian (2015 movie): Why couldn't Matt Damon grow more potatoes using the poop logic he used for the first time?","How plausible is the science in The Martian?","0"
1352,2705,2706,"What is it like to have a brain close to the great librarian?","What does it feel like to be working as a librarian?","0"
1353,2707,2708,"How does one make a blog?","What is the best way to build a successful blog?","0"
1354,2709,2710,"What are the best substitutes for butter extracts?","What are some good substitutes for butter beans?","0"
1355,2711,2712,"What is the difference between ""UPLOAD""-""IMPORT"" and ""EXPORT""-""DOWNLOAD""?","What does California import and export?","0"
1356,2713,2714,"How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M506x?","How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M606x?","1"
1357,2715,2716,"How do I get my company's website on the first page of Google?","How do I get my website on the first page on Google [Search for specific Keyword] ?","0"
1358,2717,2718,"If you mother left you as a child but you stayed with your dad, what's the best way to find her?","What is the best answer to ""if you cant take care of my daughter, then why are you with her?""? Mind you, its coming from a sarcastic mother.","0"
1359,2719,2720,"What is the scope for a PHP developer in India? What are the MNC companies hiring PHP developers?","Which are the MNC companies for PHP in India?","0"
1360,2721,2722,"What is the best method of losing weight?","What are the best way of loose the weight?","1"
1361,2723,2724,"How do you get noticed?","How can I get noticed in Bollywood?","0"
1362,2725,2726,"How can I learn node.js in a week?","What is the best way of learning Node.js?","0"
1363,2727,2728,"What has been one of the best decisions of your life?","What has been the best decision you've made in your life?","1"
1364,2729,2730,"Should we trust our political leaders?","Should we take into account what others say or trust only our mind?","0"
1365,2731,2732,"Is Bashar Al Assad a psychopath?","Where does Bashar Al Assad live?","0"
1366,2733,2734,"I am a Portuguese national and I want to move to Norway. Is it possible?","I am 22 (working),I want to be cricketer because I enjoy cricket. Is it still possible for me to join cricket academy and get into national squad?","0"
1367,2735,2736,"What is it like teaching at universities in Abu Dhabi for Expats (Masdar, Khalifa, Petroleum inst)?","What is the reason for Abu Dhabi (or the Sheikh) to build Masdar City?","0"
1368,2737,2738,"What are good gifts for a foreign visitor to bring when they're invited to someone's home in Martinique for the first time?","What are good gifts for a foreign visitor to bring when they're invited to someone's home in Pakistan for the first time?","0"
1369,2739,2740,"Should India buy some lands from Nepal in order to widen Siliguri Corridor to get easy access to northeast India?","Can Indian government swap some land area with Bangladesh so that the Chicken's neck corridor can be widened to 100+ kilometers?","0"
1370,2741,2742,"What are constant objects in C++?","What is constants in C?","0"
1371,2743,2744,"How do you measure the IQ of a cat?","How can you measure your IQ for free?","0"
1372,2745,2746,"A cab's flat rate is $6 at $0.75 per mile. How many miles could you travel if you only have $20 to spend?","Suppose you paddle a canoe at a steady speed of 4 miles per hour. You go 6 miles downstream & upstream. What is the speed of the current?","0"
1373,2747,2748,"What type of government does Turkey have? How does it compare to the one in Wales?","What type of government does Turkey have? How does it compare to the one in Poland?","0"
1374,2749,2750,"What is the most interesting fact that I know, but you don't, but I shouldn't?","What is the most interesting fact that most people don't know about?","1"
1375,2751,2752,"Does Mexico have a wall on its southern border?","Is it feasible to build a wall between the US and Mexico as Donald Trump claims he would do?","0"
1376,2753,2754,"What is unusual or different about the food and cuisine in Sudan?","What is unusual or different about the food and cuisine in Pakistan?","0"
1377,2755,2756,"What are some core electronics companies in Pune where I can intern?","What companies are doing core electronics work in Pune?","0"
1378,2757,2758,"What is a company to invest in vietnam?","How do I get investment for a business in Vietnam?","0"
1379,2759,2760,"What was it like seeing a person of another race for the first time, unexpectedly?","Do we have any first-hand accounts of people from the past seeing a person of another race for the first time in their lives? How do they react?","1"
1380,2761,2762,"What is Himalayan pink salt? Why is it better?","What Himalayan salt is the best, and why?","0"
1381,2763,2764,"Which South American country is cheap to live?","Which South American country is cheap to travel for a tourist?","0"
1382,2765,2766,"Should the US have a ""None of the above"" option for Presidential elections?","Should voters be given a ""None Of The Above"" choice?","0"
1383,2767,2768,"If God created the world, who created God?","Who created the ""GOD""?","1"
1384,2769,2770,"what can i do to become fair?","How can I become more white?","1"
1385,2771,2772,"Irrespective of cost which parker fountain pen is the best in looks and writing?","How does a fountain pen work?","0"
1386,2773,2774,"In a turbine, why is the final enthalpy (of the working substance) in an actual process greater than that of an isentropic process?","In a turbine, why is the final entropy in an actual process greater than that of an isentropic process?","0"
1387,2775,2776,"Why did Arnab Goswami quitted from Times Now?","Why did Arnab Goswami resign as the Editor-in-Chief of Times Now?","1"
1388,2777,2778,"What's the best why to start up a cafe?","What are requirements I would need to start my own cafe?","1"
1389,2779,2780,"Things to do in Hyderabad?","What are the cool adventurous things to do in Hyderabad?","1"
1390,2781,2782,"Does the Sony Xperia Z5 white sides scratch easily?","Does a Sony Xperia Z5 have a Gorilla Glass or Dragontrail on its front screen and back?","0"
1391,2783,2784,"What are the best apps for increasing vocabulary?","What is the best Android app for advanced English learners to improve their vocabulary and grammar?","0"
1392,2785,2786,"Is downloading iTunes music onto a flashdrive illegal?","Where is my downloaded iTunes music on my iPad?","0"
1393,2787,2788,"Who invented the middle finger bad gesture? How was it invented?","Who invented the middle finger bad gesture?","1"
1394,2789,2790,"How can you calculate ionic and ionic net equations?","How do you get the net ionic equation for HCO3+H2O?","0"
1395,2791,2792,"What are the best gifts to give a girlfriend in India?","What are the best gifts to send to a girlfriend?","0"
1396,2793,2794,"Is it correct to say ""please let me know if you need help"" or must I use ""whether""?","If I want to say, ""let me know if you can try something and finish doing it"", is it correct to say ""let me know if you could try it""?","0"
1397,2795,2796,"Are there any Republicans voting for Hillary Clinton?","Are there any other republicans (here) who voted for Hillary Clinton?","1"
1398,2797,2798,"What physiological tricks are useful to know?","What psychology hacks are useful to know?","1"
1399,2799,2800,"What is purpose of registering with dogs such as a Maltipoo at the AKC?","How can you register a Maltipoo at the AKC?","1"
1400,2801,2802,"What is your most embarrassing moment in public?","What has been your most embarrassing moment in front of a stranger?","1"
1401,2803,2804,"What's the coolest thing you can do with a computer?","What are the coolest things you can do on a computer?","1"
1402,2805,2806,"Why don't we use conveyor belts to shorten airport runways? If this idea is new, does that mean it should at least be named after me, if not patented?","How likely is that the US or Russia will elect someone insane enough to start a nuclear war (excluding Donald Trump)?","0"
1403,2807,2808,"How can I prepare for GATE without coaching?","How did you prepare for the GATE without any coaching?","1"
1404,2809,2810,"Where is travencore state in India?","What is state in constitution of India?","0"
1405,2811,2812,"What does the Tagalog word ""salamat"" mean in English?","Tagalog: What does salamat po mean in English?","0"
1406,2813,2814,"What should be done to get rid of dandruff?","How do I get rid of severe dandruff?","1"
1407,2815,2816,"Can anybody help me with Compare and contrast Haroun and Rashid character from story Haroun and the Sea of stories?","I want to study biotechnology abroad what do I have to do?","0"
1408,2817,2818,"Why did Infosys reject a mass number of candidates from the 2014 passed out batches?","When is the next batch of Infosys after 9 Jan 2016?","0"
1409,2819,2820,"Would Donald Trump be the worst president in US history?","Is Donald trump going to be the worst president?","1"
1410,2821,2822,"Has anyone ever had their RFID passport hacked and their identity stolen?","How are stolen passports used?","0"
1411,2823,2824,"Is ethics bullshit?","Are ethics bullshit?","1"
1412,2825,2826,"How much did Ticketfly pay for WillCall?","How much did Microsoft pay for LiveLoop?","0"
1413,2827,2828,"What are the best top 10 movies of Hollywood ever?","What are the best movies of Hollywood?","1"
1414,2829,2830,"What should you do if a cat scratches your eye?","What should I do if I have a cat scratch under my eye?","1"
1415,2831,2832,"What if the whole world had only one religion, could we think the world can be at peace then?","If the whole world were to follow only one religion, would it be more peaceful?","1"
1416,2833,2834,"How do I get rid of mosquitoes bites quickly?","How do I get rid of mosquito bite marks?","1"
1417,2835,2836,"Did Tywin sleep with Shae out of pure spite?","Why does Tywin sleep with Shae in A Storm of Swords?","1"
1418,2837,2838,"What is it like being the third or non-primary person in a polyamorous relationship?","What is it like to be third-wheeled in a polyamorous relationship?","1"
1419,2839,2840,"Is NATO and CIA behind Turkey's failed coup, why Turkey purges NATO military envoys?","Would NATO defend Turkey if Russia attacked?","0"
1420,2841,2842,"What are the most efficient programming algorithms to solve sudoku puzzles?","What are some puzzles similar to Sudoku?","0"
1421,2843,2844,"Where can I get my MacBook motherboard repaired in Kolkata?","Where can I get my MacBook R.A.M repaired in Kolkata?","0"
1422,2845,2846,"What is your theory of life?","What are some theories of life?","0"
1423,2847,2848,"Are Nissan Sentras good cars? Why or why not?","Should I get a Toyota Corolla, Honda Civic or Nissan Sentra as my first car? Consider all these in 2003-2007","0"
1424,2849,2850,"What are alternatives to healthprofs.com?","What are some alternatives to thebetafamily.com?","0"
1425,2851,2852,"How likely is it for a black guy to date an Indian girl?","Do black guys like to date Indian girls?","1"
1426,2853,2854,"What is mutual funds with examples?","What is mutual fund all about?","1"
1427,2855,2856,"How do modern touchscreens work?","Can touchscreens be used underwater?","0"
1428,2857,2858,"Which country is more technologically advanced; Germany or Japan?","What are the best places to visit in Japan to get a feel for their latest technological advancements?","0"
1429,2859,2860,"Which are the best movies of 2016?","Which was the best film of 2016?","1"
1430,2861,2862,"What are the proofs of quantum entanglement?","What is quantum entanglement?","0"
1431,2863,2864,"Should I find a new piano teacher to replace my current one?","I find it easy to do many tasks at a time but my parents and teachers advise me to do one thing at a time. Is my attitude right or should I change?","0"
1432,2865,2866,"What is the function of gear box?","What is the advantges of a constant mesh gear box over the sliding mesh gear box?","0"
1433,2867,2868,"Should I worry about what people think about me?","Should I ever care what people think of me?","1"
1434,2869,2870,"What is the difference between an UberX, Uber Black and Uber Taxi?","How does Uber compare to taxis in New York City?","0"
1435,2871,2872,"How do I burn a dvd movie using windows 10? (PLEASE read description before answering)","What are High pitch Bollywood music songs?","0"
1436,2873,2874,"Why is Quora claiming my questions need improvement?","Why does Quora keep telling me my question needs improvement?","1"
1437,2875,2876,"Which comment do girls like the most?","Did I do the right thing by breaking up the engagement with my girl friend? See the comment for details","0"
1438,2877,2878,"What are the differences between a B-tree and a B+ tree?","What are the differences between B+Tree and B-Tree?","1"
1439,2879,2880,"What is the equation for calculating GDP at factor cost?","What is the significance of calculating GDP at factor cost and GDP at producer prices?","0"
1440,2881,2882,"What universities does Limelight Networks recruit new grads from? What majors are they looking for?","What universities does Extreme Networks recruit new grads from? What majors are they looking for?","0"
1441,2883,2884,"In terms of reputation, can McGill University compare with the Ivy league?","How much does it cost to fund Ivy League degree?","0"
1442,2885,2886,"What do you mean by financial statement analysis?","What is the need for a financial statement analysis?","0"
1443,2887,2888,"How can you take the battery out of an iPhone 4?","How do you take the battery off an iPhone 4?","1"
1444,2889,2890,"My name is inder in cerificate but now I try to fill an application form and there is last name required what can I do?","During the Nazi occupation, what were the French school children taught?","0"
1445,2891,2892,"Which is the best laptop under 20k today? Fast & smooth.","What is the best laptop I could buy under 20k?","1"
1446,2893,2894,"What are human impacts on biodiversity?","What is the human impact on biodiversity?","1"
1447,2895,2896,"When you time travel, do you alter the time for all of universe or just the spot were you are?","How did you feel when you travelled in an airplane for the first time?","0"
1448,2897,2898,"People needs rikshaw stands. Aren't you having trouble due to them?","I want to move to IT but I don’t know programming nor do I want to do programming. Are there any other career paths?","0"
1449,2899,2900,"What type of wildlife are native to Turkey?","What animals are native to the country Turkey?","1"
1450,2901,2902,"Do I need to notify the airline counter that I have a replica air pistol or rifle in my checked baggage for international flights?","Me and my family have expired bi/b2 visa that we did not use. can we reapply for renewal?","0"
1451,2903,2904,"Can we really hack Facebook?","Can I hack Facebook?","1"
1452,2905,2906,"How do you view the Indian government's decision to fight ""black money"" by scrapping 500 rupee and 1000 rupee notes?","What are going to be the rammifications of the Indian government's decision affecting invalid ₹500/₹1000 currency notes?","1"
1453,2907,2908,"How can I retrieve a discarded draft on Gmail?","Gmail: How do I retrieve Gmail drafts?","0"
1454,2909,2910,"How much time do people spend on Quora?","How much time does Quora take up in your day?","1"
1455,2911,2912,"I have -2.5 eye power. Can I fit the criteria of a 6/9 vision and, if not, what exactly does my eye vision fit to?","Vision (eyesight): Is -4.5 eye number very large?  What does it mean?","0"
1456,2913,2914,"How is erectile dysfunction treated?","How do I overcome erectile dysfunction due to over masturbation?","1"
1457,2915,2916,"Can you still learn new languages after childhood?","Are new languages still being created?","0"
1458,2917,2918,"When was the hardest period in your life and how did you get through?","What are the hardest time you've seen and how did you get out of it?","1"
1459,2919,2920,"What is the best place to visit in the world? What is the best place to visit in India? What is the best place to visit in Bihar?","What is the best place in India to visit?","0"
1460,2921,2922,"A couple who has 5 sons went for a picnic. Each son has 7 sisters. Each sister has 3 babies. In total, how many people went for the picnic?","Why are there so many ""no picnic"" signs in Venice?","0"
1461,2923,2924,"What is the importance of biochemistry in agriculture?","Why didn't Aman Goel choose to do a master’s from a top college of the USA and instead decided to work?","0"
1462,2925,2926,"Will Google purchase Twitter?","Will Google acquire Twitter?","1"
1463,2927,2928,"What are some examples of sentences using the word ""acceptance""?","What are examples of sentences using the word ""perception""?","0"
1464,2929,2930,"What should be the strategy to clear IBPS PO?","How do prepare the prelims exam of IBPS PO?","1"
1465,2931,2932,"What is ethical dilemma?","What are ethical dilemmas?","0"
1466,2933,2934,"How does banning 500 & 1000 rupee notes solve black money problem?","Would demonetization of 500 and 1000 rupee notes actually help in curbing black money in India?","1"
1467,2935,2936,"Why do Trump supporters believe that Donald Trump can get his platform through congress?","Why do you think Donald Trump is getting so much support?","0"
1468,2937,2938,"Is Pakistan the worst democracy in the world?","What is Democracy? What kind of Democracy is existing in Pakistan?","0"
1469,2939,2940,"If the universe rewinds itself after it dies does that mean that I get to be reborn?","What happens to the soul after it leaves the body?","0"
1470,2941,2942,"How much does an Ola Mini cab earn on average per month from an investor's point of view in Mumbai?","How much does an Ola Mini cab earn on average per month from an investor's point of view in Bangalore?","0"
1471,2943,2944,"What happens to a question on Quora if it is marked as needing further improvement?","How can I ask Quora a question about something that was marked ""needs improvement?""?","1"
1472,2945,2946,"What do iCloud backup from an app?","How do I remove an app from iCloud?","0"
1473,2947,2948,"How can I delete an old Facebook account that I forgot it's password?","How do I get into my Instagram if I forgot my email and my Facebook password?","1"
